MCS,cells,mean_component_assembled_pore,mean_component_assembly_sites,mean_component_channel_complex,mean_component_connecting_complex,mean_component_nup188_inner_ring,mean_component_nup205_inner_ring,mean_component_y_complex,mean_localization_cytoplasm,mean_localization_nuclear_envelope,stage_fraction_channel_complex,stage_fraction_connecting_complex,stage_fraction_inner_ring,stage_fraction_mature,stage_fraction_none,stage_fraction_seed,stage_fraction_y_complex_scaffold,total_component_assembled_pore,total_component_assembly_sites,total_component_channel_complex,total_component_connecting_complex,total_component_nup188_inner_ring,total_component_nup205_inner_ring,total_component_y_complex
775.0,484.0,0.0,0.8574380165289256,0.0,0.09504132231404959,0.0,0.0,8.012396694214877,0.5460743801652898,0.4539256198347106,0.0,0.0,0.0,0.0,0.14256198347107438,0.7789256198347108,0.07851239669421488,0.0,415.0,0.0,46.0,0.0,0.0,3878.0
800.0,484.0,0.0,0.8677685950413223,0.0,0.1446280991735537,0.0,0.0,8.698347107438016,0.5148760330578516,0.4851239669421484,0.0,0.0,0.0,0.0,0.1322314049586777,0.7665289256198347,0.1012396694214876,0.0,420.0,0.0,70.0,0.0,0.0,4210.0
825.0,484.0,0.0,0.8842975206611571,0.0,0.21487603305785125,0.0,0.0,9.206611570247935,0.5148760330578516,0.4851239669421484,0.0,0.0,0.0,0.0,0.11570247933884298,0.762396694214876,0.12190082644628099,0.0,428.0,0.0,104.0,0.0,0.0,4456.0
850.0,484.0,0.0,0.8946280991735537,0.0,0.2975206611570248,0.0,0.0,9.75206611570248,0.4827479338842975,0.5172520661157025,0.0,0.0,0.0,0.0,0.10537190082644628,0.743801652892562,0.15082644628099173,0.0,433.0,0.0,144.0,0.0,0.0,4720.0
875.0,484.0,0.0,0.9049586776859504,0.0,0.384297520661157,0.0,0.0,10.260330578512397,0.4827479338842975,0.5172520661157025,0.0,0.0,0.0,0.0,0.09504132231404959,0.7169421487603306,0.18801652892561985,0.0,438.0,0.0,186.0,0.0,0.0,4966.0
900.0,484.0,0.0,0.9152892561983471,0.0,0.4793388429752066,0.0,0.0,10.822314049586776,0.45041322314049587,0.549586776859504,0.0,0.0,0.0,0.0,0.08471074380165289,0.6900826446280992,0.22520661157024793,0.0,443.0,0.0,232.0,0.0,0.0,5238.0
925.0,484.0,0.0,0.9235537190082644,0.0,0.6074380165289256,0.0,0.0,11.305785123966942,0.45041322314049587,0.549586776859504,0.0,0.002066115702479339,0.0,0.0,0.07644628099173553,0.6466942148760331,0.27479338842975204,0.0,447.0,0.0,294.0,0.0,0.0,5472.0
950.0,484.0,0.0,0.9318181818181818,0.0,0.7272727272727273,0.0,0.0,11.731404958677686,0.41683884297520607,0.5831611570247935,0.0,0.002066115702479339,0.0,0.0,0.06818181818181818,0.6053719008264463,0.3243801652892562,0.0,451.0,0.0,352.0,0.0,0.0,5678.0
975.0,484.0,0.0,0.9462809917355371,0.0,0.9173553719008265,0.0,0.0,12.152892561983471,0.41683884297520607,0.5831611570247935,0.0,0.002066115702479339,0.0,0.0,0.05371900826446281,0.5743801652892562,0.36983471074380164,0.0,458.0,0.0,444.0,0.0,0.0,5882.0
1000.0,484.0,0.0,0.9545454545454546,0.0,1.1570247933884297,0.0,0.0,12.582644628099173,0.3860537190082643,0.6139462809917358,0.0,0.002066115702479339,0.0,0.0,0.045454545454545456,0.5475206611570248,0.4049586776859504,0.0,462.0,0.0,560.0,0.0,0.0,6090.0
1025.0,484.0,0.0,0.9607438016528925,0.0,1.43801652892562,0.0,0.0,12.90495867768595,0.3860537190082643,0.6139462809917358,0.0,0.008264462809917356,0.0,0.0,0.03925619834710744,0.5,0.4524793388429752,0.0,465.0,0.0,696.0,0.0,0.0,6246.0
1050.0,484.0,0.0,0.9648760330578512,0.004132231404958678,1.7148760330578512,0.0,0.0,13.264462809917354,0.35423553719008216,0.6457644628099177,0.0,0.008264462809917356,0.0,0.0,0.03512396694214876,0.4462809917355372,0.5103305785123967,0.0,467.0,2.0,830.0,0.0,0.0,6420.0
1075.0,484.0,0.0,0.9669421487603306,0.004132231404958678,2.020661157024793,0.0,0.0,13.586776859504132,0.35423553719008216,0.6457644628099177,0.0,0.014462809917355372,0.0,0.0,0.03305785123966942,0.40082644628099173,0.5516528925619835,0.0,468.0,2.0,978.0,0.0,0.0,6576.0
1100.0,484.0,0.0,0.9669421487603306,0.012396694214876033,2.322314049586777,0.0,0.0,13.863636363636363,0.32541322314049564,0.6745867768595053,0.0,0.01859504132231405,0.0,0.0,0.03305785123966942,0.38016528925619836,0.5681818181818182,0.0,468.0,6.0,1124.0,0.0,0.0,6710.0
1125.0,484.0,0.0,0.9669421487603306,0.01652892561983471,2.6198347107438016,0.0,0.0,14.070247933884298,0.32541322314049564,0.6745867768595053,0.0,0.024793388429752067,0.0,0.0,0.03305785123966942,0.3305785123966942,0.6115702479338843,0.0,468.0,8.0,1268.0,0.0,0.0,6810.0
1150.0,484.0,0.0,0.9710743801652892,0.0371900826446281,2.987603305785124,0.0,0.0,14.268595041322314,0.30061983471074366,0.6993801652892576,0.0,0.030991735537190084,0.0,0.0,0.028925619834710745,0.30578512396694213,0.6342975206611571,0.0,470.0,18.0,1446.0,0.0,0.0,6906.0
1175.0,484.0,0.0,0.9752066115702479,0.05371900826446281,3.3595041322314048,0.0,0.0,14.47107438016529,0.30061983471074366,0.6993801652892576,0.0,0.04132231404958678,0.0,0.0,0.024793388429752067,0.2706611570247934,0.6632231404958677,0.0,472.0,26.0,1626.0,0.0,0.0,7004.0
1200.0,484.0,0.0,0.9752066115702479,0.08677685950413223,3.768595041322314,0.0,0.0,14.652892561983471,0.2792355371900828,0.7207644628099196,0.0,0.05165289256198347,0.0,0.0,0.024793388429752067,0.23553719008264462,0.6880165289256198,0.0,472.0,42.0,1824.0,0.0,0.0,7092.0
1225.0,484.0,0.0,0.9772727272727273,0.12396694214876033,4.1735537190082646,0.0,0.0,14.797520661157025,0.2792355371900828,0.7207644628099196,0.0,0.06611570247933884,0.0,0.0,0.022727272727272728,0.2128099173553719,0.6983471074380165,0.0,473.0,60.0,2020.0,0.0,0.0,7162.0
1250.0,484.0,0.0,0.981404958677686,0.1652892561983471,4.582644628099174,0.0,0.0,14.90495867768595,0.2596074380165296,0.7403925619834736,0.0,0.0743801652892562,0.0,0.0,0.01859504132231405,0.18388429752066116,0.7231404958677686,0.0,475.0,80.0,2218.0,0.0,0.0,7214.0
1275.0,484.0,0.0,0.981404958677686,0.21487603305785125,4.975206611570248,0.0,0.0,15.016528925619834,0.2596074380165296,0.7403925619834736,0.0,0.08884297520661157,0.0,0.0,0.01859504132231405,0.16322314049586778,0.7293388429752066,0.0,475.0,104.0,2408.0,0.0,0.0,7268.0
1300.0,484.0,0.0,0.9834710743801653,0.25206611570247933,5.338842975206612,0.0,0.0,15.119834710743802,0.24411157024793476,0.7558884297520693,0.0,0.09504132231404959,0.0,0.0,0.01652892561983471,0.15702479338842976,0.731404958677686,0.0,476.0,122.0,2584.0,0.0,0.0,7318.0
1325.0,484.0,0.0,0.9855371900826446,0.30165289256198347,5.714876033057851,0.0,0.0,15.223140495867769,0.24411157024793476,0.7558884297520693,0.0,0.10950413223140495,0.0,0.0,0.014462809917355372,0.12603305785123967,0.75,0.0,477.0,146.0,2766.0,0.0,0.0,7368.0
1350.0,484.0,0.0,0.9855371900826446,0.33884297520661155,6.074380165289257,0.0,0.0,15.309917355371901,0.23192148760330683,0.7680785123966982,0.002066115702479339,0.13429752066115702,0.0,0.0,0.014462809917355372,0.11983471074380166,0.7293388429752066,0.0,477.0,164.0,2940.0,0.0,0.0,7410.0
1375.0,484.0,0.0,0.9855371900826446,0.39669421487603307,6.475206611570248,0.004132231404958678,0.004132231404958678,15.40495867768595,0.23192148760330683,0.7680785123966982,0.002066115702479339,0.16115702479338842,0.0,0.0,0.014462809917355372,0.10537190082644628,0.7169421487603306,0.0,477.0,192.0,3134.0,2.0,2.0,7456.0
